关键词分类,关键词列表,出现次数
政策利好,"政策支持, 国家战略, 十四五, 规划, 补贴, 扶持, 利好政策, 重大项目",6968
业绩利好,"业绩预增, 净利润增长, 营收增长, 超预期, 扭亏为盈, 业绩翻倍, 高增长",2248
订单利好,"中标, 签约, 大订单, 合同, 战略合作, 框架协议, 供货协议",6468
资本运作,"收购, 并购, 重组, 借壳, 注入资产, 定增, 回购, 增持",12664
技术突破,"突破, 首创, 领先, 自主研发, 专利, 技术创新, 量产",11368
机构看好,"买入评级, 强烈推荐, 目标价, 上调, 机构调研, 北向资金",7946
业绩利空,"业绩下滑, 亏损, 净利润下降, 营收下降, 业绩不及预期, 爆雷",3720
监管风险,"立案调查, 处罚, 违规, 警示函, 问询函, 退市风险, ST",6476
减持利空,"减持, 清仓, 大股东减持, 解禁, 限售股, 套现",4144
行业利空,"行业下行, 产能过剩, 价格战, 需求萎缩, 竞争加剧",546
资金风险,"债务违约, 资金链, 流动性, 质押, 爆仓, 担保",3098
机器人催化,"人形机器人, 工业机器人, 特斯拉机器人, Optimus, 减速器, 伺服电机",1034
AI催化,"ChatGPT, DeepSeek, 大模型, 算力, AI应用, AIGC, GPU",4626
半导体催化,"芯片国产化, 晶圆, 光刻机, 存储芯片, 先进制程, ASML",1252
新能源催化,"新能源车, 光伏, 储能, 锂电池, 充电桩, 氢能",4608
军工催化,"国防预算, 军工订单, 航空发动机, 导弹, 卫星, 阅兵",2962
医药催化,"创新药获批, FDA, 临床三期, 集采, CXO, 医保谈判",924
