datetime,content,title
2025-02-28 18:32:28,【投资日历：3月资本市场大事提醒】,投资日历：3月资本市场大事提醒
2025-02-28 07:42:02,"【投资日历：周五资本市场大事提醒】
①今日共有2只新股申购，为创业板的汉朔科技（301275）、沪主板的永杰新材（603271）。
②国务院新闻办公室将于2月28日举行国务院政策例行吹风会，介绍2024年国务院部门办理全国人大代表建议和全国政协提案工作有关情况。
③国家医保局拟于2月28日举办第一期“集采开放日·走进中选企业”活动。
④明晟公司（MSCI）公布了2月份指数审议结果，调整将于2月28日收盘后生效。
⑤《广州市低空经济发展条例》正式发布，2月28日起施行。
⑥北京市医保局：自2月28日起，200种中药配方颗粒可以医保报销。
⑦香港金管局推出人民币贸易融资流动资金安排，2月28日正式启动。
⑧AMD：RX9070系列显卡将于北京时间2月28日发布，系列产品将于3月初上市。
⑨阿里达摩院旗下品牌玄铁宣布2025玄铁RISC-V生态大会将于2月28日召开。
⑩新款小鹏G6将于2月28日正式亮相。
⑪科创板上市公司业绩快报或者正式年报（强制披露）截止日。
⑫今日中兴通讯、海光信息将披露年报。
⑬今日有1825亿元7天期逆回购到期。
⑭今日将公布美国1月核心PCE物价指数年率等数据。",投资日历：周五资本市场大事提醒
2025-02-27 09:32:36,【预告】国务院新闻办公室将于2025年2月28日（星期五）上午10时举行国务院政策例行吹风会，请民政部副部长唐承沛、财政部副部长郭婷婷、自然资源部副部长许大纯、住房城乡建设部副部长姜万荣和国务院新闻办公室新闻发言人介绍2024年国务院部门办理全国人大代表建议和全国政协提案工作有关情况，并答记者问。,预告
2025-02-27 07:43:56,"【投资日历：周四资本市场大事提醒】
①今日暂无只新股申购。
②商务部定于2月27日举行新闻发布会，介绍近期商务领域重点工作有关情况。
③首批2只自由现金流ETF将在2月27日于深交所上市。
④小米将在2月27日晚7点召开新品发布会，小米15 Ultra和小米SU7 Ultra两款重磅新品将会亮相。
⑤2025山东工业互联网峰会将于2月27日在济南举办。
⑥第二十届中国（山东）国际装备制造业博览会将于2月27日至3月2日在山东举办。
⑦三安光电与意法半导体联合打造的安意法半导体碳化硅晶圆厂，将于2月27日举行通线仪式。
⑧百济神州（06160.HK）将于2月27日公布2024年第四季度及全年财务业绩。
⑨惠普（HPQ.N）、戴尔（DELL.N）将于当地时间2月27日美股盘后（北京时间次日凌晨）发布财报。
⑩欧洲央行公布1月货币政策会议纪要。
⑪今日北特科技、东方雨虹、建元信托等股将披露年报。
⑫今日有1250亿元7天期逆回购到期。
⑬今日将公布美国当周初请失业金人数等数据。",投资日历：周四资本市场大事提醒
2025-02-27 07:00:51,"【周四（2月27日）重点关注财经事件和经济数据】
①16:55 德国2月季调后失业人数；
②18:00 欧元区2月经济景气指数；
③20:30 欧洲央行公布1月货币政策会议纪要；
④21:30 加拿大第四季度经常帐；
⑤21:30 美国至2月22日当周初请失业金人数；
⑥21:30 美国第四季度实际GDP年化季率修正值；
⑦21:30 美国1月耐用品订单月率；
⑧22:15 美联储施密德就经济问题发表讲话；
⑨23:00 美国1月成屋签约销售指数月率；
⑩23:00 美联储理事巴尔就“新活动监管”发表讲话；
⑪23:30 美国至2月21日当周EIA天然气库存；
⑫次日00:45 美联储理事鲍曼就“社区银行”发表讲话；
⑬次日04:15 美联储哈克就经济前景发表讲话。",周四（2月27日）重点关注财经事件和经济数据
2025-02-26 07:54:14,"【投资日历：周三资本市场大事提醒】
①今日暂无新股申购。
②国务院台湾事务办公室2月26日举行例行新闻发布会，就近期两岸热点问题回答记者提问。
③UDE2024第五届国际半导体显示博览会将于2月26日至28日在深圳举办。
④功率半导体制造及供应链高峰论坛将于2月26日至28日在重庆举办。
⑤首届“海洋十年”海洋城市大会将于2月26日至27日在青岛举办。
⑥英伟达将于美东时间2月26日盘后（北京时间次日凌晨）发布2024财年第四季度业绩报告。
⑦今日东诚药业、盛美上海将披露年报。
⑧今日有5389亿元7天期逆回购到期。
⑨今日将公布美国1月新屋销售总数年化、美国当周EIA原油库存等数据。",投资日历：周三资本市场大事提醒
2025-02-25 07:55:07,"【投资日历：周二资本市场大事提醒】
①今日暂无新股申购。
②成都市政协十六届三次会议将于2月25日召开，正式会期3天半。
③首届中国创业生态峰会将于2月25日在东莞举行。
④首届联合国“海洋十年”海洋城市大会将于2月25日至27日举行。
⑤苹果公司将于美国东部时间2月25日召开年度股东大会。
⑥老铺黄金宣布多店将于2月25日调价。
⑦今日焦点科技、日播时尚将披露年报。
⑧今日有4892亿元7天期逆回购到期。
⑨今日将公布美国12月FHFA房价指数月率等数据。",投资日历：周二资本市场大事提醒
2025-02-25 07:03:36,"【周二（2月25日）重点关注财经事件和经济数据】
① 15:00 德国第四季度未季调GDP年率终值；
② 19:00 英国2月CBI零售销售差值；
③ 22:00 美国12月FHFA房价指数月率；
④ 22:00 美国12月S&P/CS20座大城市未季调房价指数年率；
⑤ 23:00 美国2月谘商会消费者信心指数；
⑥ 23:00 美国2月里奇蒙德联储制造业指数；
⑦ 次日00:45 美联储理事巴尔就金融稳定性发表讲话；
⑧ 次日02:00 美联储巴尔金就通胀发表讲话；
⑨ 次日05:30 美国至2月21日当周API原油库存。",周二（2月25日）重点关注财经事件和经济数据
2025-02-24 14:25:37,【提醒】财联社2月24日电，今天下午3时，国务院新闻办公室将举行发布会，邀请中央财经委员会办公室、中央农村工作领导小组办公室的相关负责人，介绍进一步深化农村改革、扎实推进乡村全面振兴的有关情况。,提醒
2025-02-24 13:34:16,【预告：商务部定于2月27日下午3时举行新闻发布会 介绍近期商务领域重点工作有关情况】财联社2月24日电，商务部定于2025年2月27日(星期四)下午3时举行新闻发布会，新闻发言人介绍近期商务领域重点工作有关情况，并答记者问。,预告：商务部定于2月27日下午3时举行新闻发布会 介绍近期商务领域重点工作有关情况
2025-02-24 08:53:17,【预告：国务院台湾事务办公室2月26日举行新闻发布会】财联社2月24日电，国务院台湾事务办公室定于2025年2月26日上午10:00在国台办新闻发布厅举行例行新闻发布会，发言人就近期两岸热点问题回答记者提问。,预告：国务院台湾事务办公室2月26日举行新闻发布会
2025-02-24 08:00:41,"【投资日历：周一资本市场大事提醒】
①今日暂无新股申购。
②国新办将于2月24日就进一步深化农村改革，扎实推进乡村全面振兴有关情况举行发布会。
③十四届全国人大常委会第十四次会议将于2月24日至25日在北京举行，将审议民营经济促进法草案，审议国务院关于提请审议民用航空法修订草案的议案等。
④DeepSeek将从本周起将开源5个代码库，以完全透明的方式分享研究进展。
⑤印尼总统：将于2月24日启动一项新的主权财富基金，资产超过9000亿美元。
⑥现代汽车将于2月24日至28日暂停韩国蔚山第1工厂12号生产线的运营，该生产线生产Ioniq 5和Kona电动车。
⑦因假期，东京证券交易所今日休市一日。
⑧今日有1905亿元7天期逆回购到期。
⑨今日将公布欧元区1月CPI等数据。",投资日历：周一资本市场大事提醒
2025-02-21 09:26:21,【预告：国新办将就进一步深化农村改革，扎实推进乡村全面振兴有关情况举行发布会】财联社2月21日电，国务院新闻办公室定于2025年2月24日（星期一）下午3时举行新闻发布会，请中央财经委员会办公室分管日常工作的副主任、中央农村工作领导小组办公室主任韩文秀，中央财经委员会办公室副主任、中央农村工作领导小组办公室副主任祝卫东介绍进一步深化农村改革，扎实推进乡村全面振兴有关情况，并答记者问。,预告：国新办将就进一步深化农村改革，扎实推进乡村全面振兴有关情况举行发布会
